"","RouteDataID","CountryNum","StateNum","Route","RouteName","Latitude","Longitude","NCar","Noise","BirdCount"
"1",6351801,124,11,300,"Skidegate Lake",53.20804,-131.79334,6,0,1
"2",6352171,124,4,104,"GRANUM",49.90214,-113.09867,27,4,2
"3",6352601,124,4,214,"KATHYRN",51.4154,-113.7321,0,0,12
"4",6350914,124,4,25,"MALIGNE LAKE",52.73141,-117.63709,34,6,4
"5",6350752,124,4,3,"MILK RIVER",49.08995,-112.39699,1,1,1
"6",6351782,124,4,63,"CARDINAL LK",56.27611,-117.82119,27,10,2
"7",6352382,124,45,105,"HOLLAND",49.5463,-98.9148,10,1,1
"8",6352913,124,45,307,"Hilton",49.48794,-99.81088,0,1,1
"9",6353297,124,56,18,"CLOVERDALE",46.35704,-67.5403,12,0,3
"10",6353503,124,65,21,"N KINGSTON",45.10326,-64.68647,51,6,1
"11",6351566,124,65,37,"SHELBURNE",43.79576,-65.24425,32,9,1
"12",6351734,124,68,15,"ROBLIN",44.35414,-77.00984,71,4,1
"13",6350883,124,68,2,"PORT DOVER",42.67885,-80.37183,69,0,1
"14",6353518,124,68,34,"SUOMI",48.23844,-89.9916,7,0,1
"15",6351534,124,76,165,"CAP D'ESPOIR",48.41961,-64.31785,12,4,9
"16",6351796,124,76,366,"Petite Vallée",49.01203,-65.28136,54,10,48
"17",6350763,124,76,5,"VERCHÈRES",45.72505,-73.40518,24,0,2
"18",6352996,124,76,70,"ILES DE LA MADELEINE",47.39233,-61.90239,61,0,2
"19",6352404,124,79,225,"Donovan",51.6997,-107.13764,25,0,1
"20",6353128,124,79,33,"BIGGAR",52.23764,-107.97894,4,0,17
"21",6357807,840,14,103,"SAWMILL MTN",34.5675322,-118.55729,49,0,8
"22",6351499,840,14,106,"MESA GRANDE",33.1990869,-116.7862853,87,0,2
"23",6353127,840,14,108,"CARMEL VAL",36.4530827,-121.6956939,8,0,1
"24",6352986,840,14,109,"CIMA",35.1743817,-115.4116059,26,1,2
"25",6350679,840,14,112,"PEARBLOSSOM",34.5208799,-117.9406162,12,0,1
"26",6351806,840,14,128,"KELSO VALLEY",35.5494581,-118.2071003,0,0,3
"27",6351009,840,14,137,"JACUMBA",32.6119997,-116.2002339,78,0,2
"28",6353221,840,14,14,"FISH ROCK",38.8035918,-123.5854569,99,2,2
"29",6353615,840,14,140,"CARRIZO PLN",35.0931687,-119.7298739,4,0,3
"30",6352143,840,14,153,"GOLD HILL",38.7687607,-120.9253159,197,1,1
"31",6350841,840,14,154,"CROWLEY LAKE",37.6375765,-118.6550657,10,0,1
"32",6352091,840,14,166,"DORRIS",41.9998861,-121.8916067,82,0,45
"33",6352117,840,14,190,"COPPEROPOLIS",37.9834939,-120.6452578,434,0,21
"34",6354760,840,14,21,"HUGHSON",37.5947824,-120.860951,182,0,1
"35",6352612,840,14,221,"CLEVELAND NF",32.92408,-116.48047,4,0,2
"36",6369474,840,14,231,"JOSHUA TREE 2",34.0138414,-116.16262,254,3,3
"37",6350776,840,14,319,"PESCADERO",37.1650627,-122.2276839,28,0,1
"38",6353638,840,14,352,"STATEN IS.",38.1231944,-121.525076,62,1,4
"39",6354999,840,14,37,"VALLEY WELLS",35.473722,-115.7029053,0,0,8
"40",6351385,840,14,431,"HAY FORK",40.4903837,-123.0732879,14,4,1
"41",6350633,840,14,49,"PALO VERDE",33.4048617,-114.7292329,83,2,23
"42",6350677,840,14,503,"Tracy 2",37.665124,-121.73284,65,0,5
"43",6350665,840,14,51,"ANZA BORREGO",32.903954,-116.23272,8,0,24
