"","RouteDataID","CountryNum","StateNum","Route","RouteName","Latitude","Longitude","NCar","Noise","BirdCount"
"1",6370630,124,11,198,"MASSETT",54.03085,-132.05651,6,0,3
"2",6369173,124,11,201,"VICTORIA",48.40459,-123.34957,446,10,5
"3",6369915,124,11,205,"CRESTON",49.07317,-116.52268,132,8,27
"4",6369873,124,11,217,"TOBY CREEK RD",50.517019,-116.030916,27,9,1
"5",6370632,124,11,300,"Skidegate Lake",53.20804,-131.79334,0,1,1
"6",6368672,124,11,611,"Barrowtown",49.129994,-122.029039,132,1,1
"7",6368282,124,4,127,"VIKING",53.10329,-111.76012,1,0,1
"8",6370587,124,4,155,"HYTHE",55.31601,-119.66554,78,10,1
"9",6368361,124,45,112,"SPRINGER LK",50.50584,-95.46974,2,0,9
"10",6368898,124,45,205,"GRAYSVILLE",49.51136,-98.16004,1,0,1
"11",6368560,124,45,21,"BEULAH",50.29948,-101.06148,51,9,4
"12",6369035,124,45,303,"Green Ridge",49.04514,-97.183639,3,7,1
"13",6369560,124,45,307,"Hilton",49.48794,-99.81088,0,0,10
"14",6370460,124,45,9,"CROLL",49.34073,-100.12712,61,1,1
"15",6369979,124,57,1,"TREPASSEY",46.70801,-53.4743,16,0,48
"16",6374113,124,57,12,"TERRA NOVA",48.64839,-53.87089,63,5,2
"17",6370596,124,57,21,"ST PAULS",49.85593,-57.79948,113,2,1
"18",6367470,124,76,1,"EARDLEY",45.55411,-76.11098,14,0,25
"19",6368496,124,76,59,"MONT JOLI",48.54875,-68.22258,65,0,12
"20",6370456,124,76,68,"PTE-A-LA-FRÉGATE",49.20396,-64.92619,100,0,85
"21",6370371,124,76,70,"ILES DE LA MADELEINE",47.39233,-61.90239,47,0,8
"22",6369373,124,79,113,"EDENWOLD",50.57177,-104.27272,15,0,1
"23",6370349,124,79,120,"WILLOWBROOK",51.09238,-102.75534,5,0,1
"24",6370144,124,79,122,"SERATH",51.27037,-104.47251,5,0,1
"25",6370050,124,79,123,"FARRERDALE",51.41636,-105.82708,6,0,1
"26",6367529,124,79,211,"BANGOR",50.85594,-102.30819,16,0,1
"27",6370426,124,79,213,"Craven",50.75888,-104.6899,37,0,3
"28",6370720,840,14,108,"CARMEL VAL",36.4530827,-121.6956939,16,0,7
"29",6367369,840,14,122,"CUYAMACA PK",32.9845324,-116.6771527,134,0,1
"30",6369401,840,14,127,"SANGER",36.6992615,-119.5118359,56,1,1
"31",6367363,840,14,137,"JACUMBA",32.6119997,-116.2002339,97,1,4
"32",6368495,840,14,173,"LOCKWOOD",35.9222607,-121.0644229,62,4,1
"33",6368044,840,14,189,"COYOTE",37.2521703,-121.6774341,227,2,1
"34",6367833,840,14,21,"HUGHSON",37.5947824,-120.860951,193,0,1
"35",6368569,840,14,240,"WILLOW SPRINGS 2",34.971073,-118.148742,36,0,6
"36",6367673,840,14,345,"Harbor Lake 2",33.7909207,-118.2918,479,3,1
"37",6368675,840,14,37,"VALLEY WELLS",35.473722,-115.7029053,0,0,12
"38",6367231,840,14,48,"GLAMIS",33.0446677,-115.1445009,0,3,7
"39",6367234,840,14,49,"PALO VERDE",33.4048617,-114.7292329,101,1,7
"40",6370225,840,14,57,"MORRO BAY",35.2565319,-120.8880009,0,1,2
"41",6367334,840,14,59,"INYOKERN",35.6076917,-117.800197,5,4,10
"42",6368635,840,14,64,"TECOPA",35.8040435,-116.1930811,3,0,9
"43",6367912,840,14,69,"IRON MTNS",34.0883297,-115.1040949,63,1,2
"44",6368518,840,14,83,"FAIRFAX",37.9851247,-122.5909499,266,0,1
"45",6367637,840,14,84,"BENTON",37.8002217,-118.5296169,19,0,1
"46",6370625,840,14,88,"COTTONWOOD",33.6738577,-115.8016279,12,0,1
"47",6367236,840,14,89,"NILAND",33.2200507,-115.4847789,70,7,20
