"","RouteDataID","CountryNum","StateNum","Route","RouteName","Latitude","Longitude","NCar","Noise","BirdCount"
"1",6340610,124,11,244,"HORSEFLY",52.47331,-121.38518,15,0,1
"2",6340533,124,4,212,"SPONDIN",51.76553,-111.51697,0,0,1
"3",6340662,124,45,103,"ST F XAVIER",49.97542,-97.5052,19,4,2
"4",6340645,124,45,2,"DUFRESNE",49.72673,-96.72108,45,0,1
"5",6340680,124,45,216,"WESTBOURNE",50.12885,-98.58808,4,0,1
"6",6340681,124,45,218,"BIRNIE",50.58765,-99.44659,4,0,1
"7",6340646,124,45,3,"SPERLING",49.51762,-97.68673,94,0,1
"8",6340648,124,45,7,"MATHER",49.04413,-99.21111,0,1,16
"9",6340735,124,57,39,"ORMA ROAD",53.5353,-63.9294,0,0,1
"10",6340764,124,65,117,"SHUBENACADIE",45.29564,-63.44884,58,0,3
"11",6340765,124,68,2,"PORT DOVER",42.67885,-80.37183,74,1,1
"12",6340785,124,68,28,"GORDON BAY",45.21508,-79.79383,21,2,4
"13",6340822,124,68,92,"BERENS LAKE",51.67225,-93.73515,4,0,3
"14",6340951,124,76,132,"LAFORCE",47.63854,-78.85035,7,1,1
"15",6344090,124,76,165,"CAP D'ESPOIR",48.41961,-64.31785,9,4,2
"16",6340920,124,76,23,"STE MARGUERITE",46.51041,-70.93779,74,2,1
"17",6340909,124,76,5,"VERCHÈRES",45.72505,-73.40518,36,0,1
"18",6340933,124,76,70,"ILES DE LA MADELEINE",47.39233,-61.90239,118,0,1
"19",6340913,124,76,9,"EAST FARNHAM",45.24805,-72.86899,26,0,4
"20",6341013,124,79,222,"JANSEN",51.99818,-104.84993,12,0,1
"21",6340989,124,79,225,"Donovan",51.6997,-107.13764,47,0,13
"22",6341347,840,14,127,"SANGER",36.6992615,-119.5118359,29,0,627
"23",6341350,840,14,140,"CARRIZO PLN",35.0931687,-119.7298739,4,0,18
"24",6341354,840,14,155,"WESTLEY",37.5141365,-121.1597352,271,0,39
"25",6341357,840,14,159,"OROVILLE",39.4978958,-121.6093062,75,2,2
"26",6341363,840,14,166,"DORRIS",41.9998861,-121.8916067,77,0,42
"27",6341365,840,14,168,"MACDOEL",41.8224004,-122.0111142,4,0,5
"28",6341374,840,14,179,"YOLLA BOLLY",40.0279597,-122.6387259,39,0,25
"29",6341381,840,14,189,"COYOTE",37.2521703,-121.6774341,122,0,3
